"","n","nevent","coef","se","hazard_ratio","hr_confint_lower","hr_confint_upper","p_value","p_adjusted"
"CD11c_low_immune_assort",77,61,-0.1025653,0.1316972,0.902519257390217,0.697197123725613,1.16830804695166,0.436100026438922,0.943108096416062
"CD163+_cells_M1_contact",77,61,-0.1049247,0.1406851,0.900392353221445,0.683408641140595,1.18626886014581,0.455780716634917,0.943108096416062
"Unidentified_region",77,61,0.08030982,0.1079634,1.08362274441638,0.876959415611213,1.33898813481361,0.456960266038616,0.943108096416062
"Neuroepithelial_cells_assort",77,61,0.08757518,0.119585,1.09152432054123,0.863460524671213,1.37982606997194,0.463969715485567,0.943108096416062
"CD8+_T_cells_vascular_med_dist",70,57,-0.09156038,0.1268525,0.912506221493257,0.711637496365709,1.17007269644487,0.470425841810587,0.943108096416062
"Other_immune_tumor_contact",77,61,0.09928631,0.1386179,1.10438244458596,0.841642670626509,1.44914299913259,0.473831416231432,0.943108096416062
"CD4+_T_cells_vascular_med_dist",71,56,0.1040178,0.1454797,1.10962019786563,0.834337617934651,1.47572991681625,0.474609801929545,0.943108096416062
"Neuroepithelial_cells_vascular_contact",77,61,-0.07144166,0.1013902,0.931050592884602,0.763255159498676,1.13573448632845,0.48104633820773,0.943108096416062
"CD11c+_epithelial_assort",77,61,-0.1130828,0.1655705,0.893076670396299,0.645587211937639,1.23544259312742,0.49461361672419,0.943108096416062
"Lymphatic_endothelial_cells_tumor_contact",77,61,-0.08730458,0.130238,0.916397934776045,0.709945972108136,1.18288603338098,0.502637017865187,0.943108096416062
"Lymphatic_endothelial_cells_region",77,61,0.07462601,0.1128145,1.07748110820419,0.863737570540157,1.3441183736061,0.508296056338226,0.943108096416062
"CD4+_T_cells_tumor_med_dist",72,57,0.08517741,0.1299744,1.08891023140763,0.844029512102868,1.40483890084604,0.512249084617994,0.943108096416062
"Monocytes_M1_contact",77,61,-0.08349357,0.1288724,0.919897001259982,0.714566812835071,1.18422865115962,0.517063879092377,0.943108096416062
"NK/NKT_vascular_contact",77,61,-0.08754276,0.1365742,0.916179692504702,0.70101690383051,1.19738229473701,0.521528868794764,0.943108096416062
"Tumor_M1_med_dist",76,60,0.07462276,0.1177444,1.07747760607778,0.855429182695704,1.35716435104609,0.526231437384986,0.943108096416062
"Neuroepithelial_cells_vascular_med_dist",51,38,-0.099625,0.1574668,0.905176797003475,0.664809808070215,1.23245027959475,0.526947216962953,0.943108096416062
"Neutrophils_M1_med_dist",55,41,0.09361904,0.1496441,1.09814131777941,0.818994413529538,1.47243294202374,0.531569939941505,0.943108096416062
"Vascular_endothelial_cells_region",77,61,-0.08150459,0.1319204,0.921728475049105,0.71172491789066,1.19369627275979,0.536686284752012,0.943108096416062
"Non-leukocyte_derived_neural_cells_assort",77,61,-0.08523184,0.1386174,0.918299359299505,0.699830632269562,1.20496828004675,0.538639767954263,0.943108096416062
"Non-leukocyte_derived_neural_cells_tumor_med_dist",33,25,-0.1409002,0.2312347,0.868575958389843,0.552052666838209,1.36658011238978,0.54229991448032,0.943108096416062
"Fibroblast_M1_med_dist",74,58,-0.08153102,0.1338827,0.921704114845612,0.708974151160283,1.19826438514438,0.542541841755512,0.943108096416062
"CD163+_cells_assort",77,61,0.07381746,0.123186,1.07661026450548,0.845672817618951,1.37061241355972,0.549015772490185,0.943108096416062
"B_cells_prop",77,61,0.07773396,0.1307993,1.08083507428009,0.836417077484691,1.39667695607928,0.552311710045093,0.943108096416062
"CD56+CD45-_vascular_med_dist",41,31,0.1156902,0.1966084,1.1226480683635,0.763642815417649,1.65042957251029,0.556243816696385,0.943108096416062
"M2_macrophages_assort",77,61,-0.08956149,0.1524005,0.91433204310422,0.678235361973289,1.23261500641139,0.556752464388647,0.943108096416062
"CD11c_low_immune_tumor_med_dist",43,35,0.0892696,0.1561221,1.09337539569568,0.805152134124967,1.48477499499137,0.567461799396502,0.943108096416062
"NK/NKT_prop",77,61,-0.08078017,0.1414915,0.922396436262904,0.699004242589189,1.21718171906796,0.568054678070588,0.943108096416062
"CD56+CD45-_tumor_contact",77,61,-0.0893269,0.1578713,0.914546557701201,0.671159221805848,1.24619520827365,0.571515342820078,0.943108096416062
"CD8+_T_cells_prop",77,61,-0.07150536,0.1267688,0.93099128469168,0.726172536852472,1.19357966348974,0.572712463523429,0.943108096416062
"Neutrophils_assort",77,61,-0.08299497,0.1474256,0.920355778310245,0.689392938373662,1.2286965988763,0.573461000848616,0.943108096416062
"CD4+_T_cells_vascular_contact",77,61,-0.07580427,0.1353916,0.926997633039385,0.710940171107733,1.2087157915436,0.575555262049813,0.943108096416062
"CD163+_cells_vascular_contact",77,61,-0.07191834,0.1290333,0.930606890033827,0.722658120377065,1.1983940391157,0.57727982460603,0.943108096416062
"CD11c_low_immune_prop",77,61,-0.0676656,0.1216671,0.934572945803176,0.736291768103606,1.18625065342891,0.578105985439733,0.943108096416062
"Unidentified_tumor_med_dist",77,61,-0.0626785,0.1173681,0.939245396293836,0.746234263702958,1.18217824799629,0.593318294592865,0.943108096416062
"CD11c_low_immune_region",77,61,-0.06558506,0.1263884,0.936519384447748,0.731029216335546,1.1997722359756,0.603818912240596,0.943108096416062
"Lymphatic_endothelial_cells_vascular_contact",77,61,0.05519393,0.1087263,1.05674552676139,0.853930249174433,1.3077310581395,0.611705232286606,0.943108096416062
"Lymphatic_endothelial_cells_assort",77,61,0.0605062,0.1196091,1.06237418353932,0.840361282361782,1.34304010613014,0.612950670715723,0.943108096416062
"Neuroepithelial_cells_prop",77,61,-0.06514414,0.1299939,0.936932406399178,0.72620166678341,1.20881343890219,0.616278074624097,0.943108096416062
"Vascular_endothelial_cells_prop",77,61,-0.0613567,0.1232486,0.940487710378933,0.738658613396326,1.19746404811667,0.618604610510579,0.943108096416062
"CD11b_low_Neutrophils_tumor_contact",77,61,-0.06046574,0.1272897,0.94132601543042,0.733484431137893,1.20806199792335,0.63476932947503,0.943108096416062
"CD4+_T_cells_M1_med_dist",71,56,0.06684723,0.1441565,1.06913213371892,0.805981700013034,1.41820033796286,0.642853359189082,0.943108096416062
"Dendritic_cells_prop",77,61,0.05896691,0.1304597,1.0607401380026,0.821412811445192,1.36979801713848,0.651273918131524,0.943108096416062
"CD11c_low_immune_vascular_med_dist",43,35,0.07939599,0.1759961,1.08263295038768,0.766784074914869,1.52858430894677,0.651900490969447,0.943108096416062
"HLADR+_vascular_contact",77,61,-0.06806826,0.1519836,0.934196700669435,0.693537092153483,1.25836596977357,0.654249925923691,0.943108096416062
"CD11b+_epithelial_tumor_contact",77,61,-0.05959614,0.1331113,0.942144947475854,0.725793717153447,1.22298813158039,0.654357638721285,0.943108096416062
"CD8+_T_cells_vascular_contact",77,61,0.05539546,0.125457,1.0569585120026,0.826549224684084,1.35159681085147,0.658815427918891,0.943108096416062
"M1_macrophages_vascular_contact",77,61,-0.05335785,0.1224702,0.948040699668352,0.745727529007556,1.20524069886999,0.663068697210533,0.943108096416062
"M2_macrophages_vascular_contact",77,61,0.06296851,0.1459702,1.06499330356021,0.800012655931137,1.41774099224464,0.666192554169138,0.943108096416062
"Lymphatic_endothelial_cells_tumor_med_dist",30,25,0.07846524,0.1844859,1.08162575562134,0.753429045071952,1.55278626816371,0.670604576940513,0.943108096416062
"HLADR+_tumor_med_dist",51,41,0.07253067,0.1731008,1.07522578643408,0.765871716575956,1.509535431053,0.675210001375543,0.943108096416062
"CD11c_low_immune_M1_contact",77,61,0.05322122,0.1276842,1.05466293155317,0.821161731006267,1.35456129674878,0.67681067288891,0.943108096416062
"CD11c+_epithelial_vascular_contact",77,61,0.05171533,0.1241353,1.05307591867666,0.825649141091382,1.34314787638585,0.676967665784634,0.943108096416062
"Fibroblast_M1_contact",77,61,-0.05046415,0.1214669,0.95078801207238,0.749360671613558,1.20635880443795,0.677808087642463,0.943108096416062
"CD8+_T_cells_M1_med_dist",70,57,-0.05259365,0.127561,0.948765461994657,0.738888239422802,1.21825717861893,0.680118074816673,0.943108096416062
"Neutrophils_vascular_contact",77,61,0.0524734,0.1274858,1.0538745330779,0.82086693908924,1.35302261375326,0.680631299333633,0.943108096416062
"Neutrophils_tumor_med_dist",56,42,0.06089714,0.1594783,1.06278959220485,0.777497752132877,1.45276525134688,0.702570935439122,0.943108096416062
"CD8+_T_cells_tumor_med_dist",71,58,-0.04617967,0.122304,0.954870387674745,0.751344423662037,1.21352794875902,0.70574188791253,0.943108096416062
"CD11b_low_Neutrophils_vascular_contact",77,61,-0.05062813,0.1366508,0.950632114523703,0.727269080690119,1.24259567903845,0.711015336370289,0.943108096416062
"Lymphatic_endothelial_cells_M1_med_dist",30,25,-0.06260164,0.1697895,0.939317586907274,0.673422043695682,1.31019995162502,0.712350328529672,0.943108096416062
"Unidentified_vascular_contact",77,61,0.04807783,0.130478,1.04925231918968,0.812487868178254,1.35501152994863,0.712519299683884,0.943108096416062
"CD11c_low_immune_M1_med_dist",43,35,-0.06001252,0.1644411,0.941752741649591,0.682282763850036,1.29989833159476,0.715149853747221,0.943108096416062
"Non-leukocyte_derived_neural_cells_tumor_contact",77,61,0.05356108,0.1470407,1.05502142855926,0.790860766072185,1.40741615018694,0.715663653989965,0.943108096416062
"Non-leukocyte_derived_neural_cells_vascular_med_dist",33,25,-0.0813979,0.2237457,0.921826822305653,0.594561281558758,1.42922978114941,0.716010025132183,0.943108096416062
"Neutrophils_prop",77,61,-0.07644146,0.2109971,0.926407141644066,0.61263363642064,1.40088650225509,0.717137723776642,0.943108096416062
"M2_macrophages_tumor_contact",77,61,0.06362899,0.176471,1.06569694012579,0.754086817415413,1.50607322918872,0.718425800310783,0.943108096416062
"M2_macrophages_vascular_med_dist",36,28,-0.0669899,0.18655,0.935204647522841,0.648806238650513,1.34802608336114,0.719521091781942,0.943108096416062
"Dendritic_cells_assort",77,61,-0.05383293,0.1509616,0.947590406056968,0.704890965161635,1.27385315180669,0.721391080496742,0.943108096416062
"CD56+CD45-_M1_contact",77,61,-0.04436415,0.1269728,0.956605545323855,0.745853306646286,1.22690904657788,0.726789969380072,0.943108096416062
"Dendritic_cells_vascular_med_dist",29,25,0.07684513,0.2223412,1.07987482441262,0.698419352338688,1.66966970845718,0.729629753529175,0.943108096416062
"CD11b+_epithelial_M1_contact",77,61,-0.04261058,0.1241556,0.958284494975849,0.751299384239614,1.22229459064516,0.731445705025038,0.943108096416062
"Vascular_endothelial_cells_M1_contact",77,61,-0.04096517,0.1203316,0.959862560685002,0.758197905804118,1.21516576127658,0.733528519434715,0.943108096416062
"Vascular_endothelial_cells_assort",77,61,-0.04617117,0.1461362,0.954878501993545,0.717062047325161,1.27156772132994,0.752043421401953,0.953889276514482
"B_cells_tumor_contact",77,61,0.04454608,0.1454313,1.04555315032599,0.786239403346588,1.39039252612312,0.759373715687132,0.953889276514482
"Tumor_vascular_contact",77,61,-0.03899561,0.1277762,0.961754926682783,0.748688372725782,1.23545733137409,0.760223924166106,0.953889276514482
"CD11b_low_Neutrophils_M1_med_dist",71,56,0.0459665,0.1513516,1.04703933244299,0.778273548187471,1.40861958656545,0.761351357643143,0.953889276514482
"Fibroblast_tumor_contact",77,61,-0.03735388,0.1257664,0.963335174595029,0.752878382560602,1.23262226690024,0.766458972650815,0.953889276514482
"NK/NKT_tumor_contact",77,61,0.03845856,0.1318763,1.03920766621569,0.802507314374272,1.34572302853528,0.770572626278765,0.953889276514482
"M2_macrophages_M1_med_dist",36,28,0.05349562,0.1853117,1.054952372044,0.733660653299327,1.51694724567328,0.772826960139048,0.953889276514482
"M2_macrophages_region",77,61,-0.04995343,0.1821254,0.951273728797453,0.665702312285103,1.35934890175454,0.783869177253981,0.957145062822209
"HLADR+_M1_med_dist",50,40,0.0520645,0.1902356,1.05344368267594,0.72557535372033,1.52946704553804,0.784327204257088,0.957145062822209
"Fibroblast_assort",77,61,0.03463771,0.1304855,1.03524458118297,0.801629185290699,1.33694152175865,0.790660831491915,0.959453593271088
"CD163+_cells_vascular_med_dist",75,59,-0.03389643,0.1338737,0.966671618986665,0.743576116076506,1.25670257388708,0.800115993066832,0.961633152066457
"HLADR+_prop",77,61,0.0325623,0.1309584,1.03309824987572,0.799226087363517,1.33540685266801,0.803634506980794,0.961633152066457
"Age",77,61,0.002722703,0.01142599,1.00272641254257,0.980520394650716,1.02543533402858,0.81165599978711,0.961633152066457
"Dendritic_cells_region",77,61,0.03085586,0.1297728,1.03133683299257,0.799719578506118,1.33003579213862,0.812060801073247,0.961633152066457
"Other_immune_vascular_contact",77,61,-0.02938905,0.1254092,0.971038609709745,0.759430421157473,1.24160944212625,0.814716976056304,0.961633152066457
"CD11c_low_immune_tumor_contact",77,61,-0.0263846,0.1208293,0.973960429650849,0.768583762996612,1.23421670375549,0.827146619913162,0.964521189854331
"CD11b+_epithelial_assort",77,61,0.032642,0.1521104,1.03318059728178,0.766830915671831,1.39204370192132,0.830083778030537,0.964521189854331
"NK/NKT_M1_contact",77,61,-0.0261988,0.1224337,0.974141410188943,0.766313049090297,1.23833397874592,0.830559913485674,0.964521189854331
"CD11b_low_Neutrophils_assort",77,61,-0.02894553,0.1414303,0.971469381944749,0.736280777112667,1.28178378329671,0.837835509284338,0.967767219280305
"Neutrophils_tumor_contact",77,61,0.02007943,0.1118351,1.02028237275954,0.819456929831785,1.27032438468428,0.857509904178144,0.980061057523199
"Lymphatic_endothelial_cells_M1_contact",77,61,-0.02204673,0.1311636,0.978194526050763,0.756447057643424,1.26494580305014,0.866515888496809,0.980061057523199
"CD11c_low_immune_vascular_contact",77,61,0.02400668,0.1476196,1.02429716175764,0.766958577704236,1.36798088721469,0.870813496225603,0.980061057523199
"Lymphatic_endothelial_cells_prop",77,61,0.02114421,0.1327963,1.02136932907679,0.78731106658009,1.32501034300227,0.873493340400831,0.980061057523199
