"","n","nevent","coef","se","hazard_ratio","hr_confint_lower","hr_confint_upper","p_value","p_adjusted"
"Tumor_vascular_med_dist",76,60,0.1455863,0.1140946,1.15671758875292,0.924932063535406,1.44658795265037,0.201950524103282,0.857160835640847
"Tumor_assort",77,61,0.1632939,0.1299395,1.17738272774005,0.912668194288181,1.51887629727445,0.208865307916461,0.857160835640847
"Other_immune_region",77,61,0.1698026,0.1355361,1.18507084124662,0.908606314477649,1.54565610693599,0.210270732687613,0.857160835640847
"CD11b+_epithelial_tumor_med_dist",58,44,0.2113693,0.1692049,1.23536851500985,0.886684461843223,1.72117075865427,0.211594918604744,0.857160835640847
"M1_macrophages_tumor_med_dist",76,60,0.143488,0.1153005,1.15429291115643,0.920814328815361,1.446971537096,0.213326791554138,0.857160835640847
"CD163+_cells_prop",77,61,-0.1885979,0.1563598,0.828119404152093,0.609535873332285,1.12508841158782,0.227748386393847,0.857160835640847
"Neuroepithelial_cells_region",77,61,-0.2421389,0.201995,0.784947162145156,0.528325943079986,1.16621577158942,0.230630324688425,0.857160835640847
"CD8+_T_cells_tumor_contact",77,61,-0.1519544,0.1281163,0.859027469466452,0.668273581188798,1.10423068346534,0.23559611981172,0.857160835640847
"CD11b_low_Neutrophils_M1_contact",77,61,-0.1678025,0.1416828,0.845520815136852,0.640506668439496,1.11615613709605,0.236273353197398,0.857160835640847
"Neuroepithelial_cells_tumor_med_dist",51,38,-0.1998003,0.1690138,0.818894303165711,0.587980659883231,1.14049309018162,0.237144793349986,0.857160835640847
"CD56+CD45-_assort",77,61,0.1557565,0.1338087,1.16854157622102,0.898971649973624,1.51894602615908,0.244414541594388,0.857160835640847
"NK/NKT_vascular_med_dist",56,46,0.1780517,0.1532473,1.19488711353065,0.884876310929793,1.6135082343671,0.245292741287622,0.857160835640847
"H3K14Ace",77,61,-0.1441263,0.1245567,0.865778372945387,0.678240703726445,1.1051713454259,0.247225839079041,0.857160835640847
"M1_macrophages_region",77,61,-0.1702471,0.1480713,0.843456367997523,0.630992411046871,1.12745990642783,0.250240805614904,0.857160835640847
"HLADR+_region",77,61,0.1456013,0.1268145,1.15673486856069,0.902171586183907,1.48312757421663,0.250909181697578,0.857160835640847
"CD11b+_epithelial_region",77,61,0.2154174,0.1910019,1.24037946998088,0.853047933493047,1.80358121641541,0.259392484631556,0.857160835640847
"CD163+_cells_tumor_contact",77,61,-0.1564283,0.1395356,0.855192836790938,0.6505656701942,1.12418287900162,0.262260727686415,0.857160835640847
"Dendritic_cells_M1_contact",77,61,0.1471771,0.1313937,1.15855916979203,0.895520783145156,1.49885896025222,0.262661370101797,0.857160835640847
"Other_immune_assort",77,61,0.1329289,0.1209103,1.14216881073472,0.901179488765341,1.44760240160643,0.271592971425803,0.857160835640847
"Neuroepithelial_cells_M1_med_dist",51,38,-0.1790465,0.1645235,0.83606701217993,0.605617540839921,1.15420707248015,0.276474482221666,0.857160835640847
"Unidentified_vascular_med_dist",76,60,-0.1477075,0.1363399,0.862683405196634,0.660387277042891,1.12694881242136,0.278641183600475,0.857160835640847
"CBX2",77,61,-0.1521738,0.1411679,0.85883903600588,0.651252514949408,1.13259369113501,0.281050422069077,0.857160835640847
"M1_macrophages_vascular_med_dist",75,59,0.1337074,0.1242653,1.14305833662384,0.895970178165347,1.45828777873021,0.28193471906523,0.857160835640847
"CD8+_T_cells_region",77,61,0.1319664,0.1229187,1.1410700343224,0.896775390477738,1.45191408802476,0.282998741730607,0.857160835640847
"Non-leukocyte_derived_neural_cells_prop",77,61,0.1842025,0.1728422,1.20225931094174,0.856790380951682,1.68702576835725,0.286547273250136,0.857160835640847
"Neutrophils_region",77,61,-0.1539811,0.1454291,0.857288234988261,0.644669852771381,1.14003022584324,0.28968861574899,0.857160835640847
"CD163+_cells_region",77,61,-0.1350473,0.1315051,0.873674582497042,0.675168810307852,1.13054285750158,0.304450600719178,0.863231019557302
