"","n","nevent","coef","se","hazard_ratio","hr_confint_lower","hr_confint_upper","p_value","p_adjusted"
"CD163+_cells_tumor_med_dist",68,53,0.1275653,0.1179789,1.13605909553091,0.90152352329048,1.43161019673432,0.279583639632923,0.785954144895807
"Fibroblast_region",69,54,-0.1733353,0.1616686,0.840855669356733,0.612503903869369,1.15434081680588,0.283646498629702,0.785954144895807
"Vascular_endothelial_cells_prop",69,54,-0.1733444,0.1617343,0.840847987412765,0.612419434446349,1.15447893742183,0.283816774545708,0.785954144895807
"CD163+_cells_region",69,54,-0.1363161,0.1299233,0.87256677014883,0.676406472630368,1.12561425588845,0.294084052209249,0.804077914901238
"Other_immune_region",69,54,-0.1446293,0.1409398,0.865343009310772,0.656477914811168,1.14066064808656,0.30480771251147,0.822980823780969
"H3K14Ace",69,54,-0.1320906,0.1304361,0.876261590190996,0.67858831056074,1.13151724321565,0.311210858187241,0.829895621832643
"CD8+_T_cells_tumor_med_dist",63,48,0.129607,0.1318449,1.13838095602878,0.879146014655139,1.47405684544602,0.325594484996716,0.857663521454764
"Monocytes_M1_med_dist",54,42,0.1333961,0.1387941,1.14270254275147,0.870545467223911,1.49994359901115,0.336497840140681,0.872161345444896
"CD56+CD45-_M1_contact",69,54,-0.1479413,0.1547829,0.862481742530001,0.63679330383379,1.16815731528444,0.339173856561904,0.872161345444896
"Neutrophils_region",69,54,-0.1508818,0.1598075,0.859949335910841,0.628701528692959,1.17625427421961,0.345094286592812,0.875087998828492
"Monocytes_vascular_contact",69,54,0.115292,0.1229559,1.12220101694547,0.881881770311203,1.42800901983613,0.348414666200233,0.875087998828492
"HLADR+_tumor_contact",69,54,-0.1674645,0.1820418,0.845806624139973,0.59199338870649,1.20844059931512,0.357612648906793,0.886320112802371
"Monocytes_tumor_contact",69,54,-0.1001929,0.1097062,0.90466293596816,0.729633451125543,1.12167969608854,0.361093379289855,0.886320112802371
"Lymphatic_endothelial_cells_vascular_med_dist",26,23,0.1823819,0.203953,1.20007236011874,0.804641294183171,1.78983315911339,0.371196338345547,0.900881000928519
"NK/NKT_region",69,54,-0.1292296,0.1459229,0.878772157988449,0.66018624278821,1.16973129036167,0.375832081939793,0.901996996655503
"NK/NKT_tumor_contact",69,54,-0.114375,0.1333212,0.891923398796794,0.686822232150309,1.15827256614944,0.390952792206961,0.908103183941824
"CD56+CD45-_prop",69,54,0.1139351,0.1336764,1.12067934764307,0.862374387546012,1.45635378134035,0.394036377852468,0.908103183941824
"ATF6",69,54,0.1097647,0.129289,1.11601538897861,0.866202082238303,1.43787503398591,0.395888485553529,0.908103183941824
"CD163+_cells_tumor_contact",69,54,0.1208275,0.1438623,1.12843019245451,0.8511750584328,1.49599625438679,0.400974146871157,0.908103183941824
"Lymphatic_endothelial_cells_tumor_contact",69,54,0.1062048,0.1282867,1.11204963169756,0.86482117888745,1.42995386046117,0.407743681107075,0.908103183941824
"Dendritic_cells_M1_med_dist",25,21,-0.216457,0.2657086,0.80536715372493,0.478434349561332,1.35570586203457,0.415278042158966,0.908103183941824
"M2_macrophages_M1_med_dist",31,23,-0.1838763,0.2259238,0.832038690295556,0.534363508548508,1.29553828259944,0.415710062254388,0.908103183941824
"CD163+_cells_M1_contact",69,54,0.1092228,0.1357889,1.1154108805879,0.854773635778337,1.45552153278686,0.421190603101403,0.908103183941824
"CD11b+_epithelial_prop",69,54,0.09342642,0.1162816,1.09792981563034,0.874169223479166,1.37896627755028,0.421714787414973,0.908103183941824
"Lymphatic_endothelial_cells_M1_contact",69,54,-0.1293245,0.1618098,0.878688791867463,0.639885598056059,1.20661254964807,0.424152596343345,0.908103183941824
"Non-leukocyte_derived_neural_cells_vascular_med_dist",30,24,0.1736519,0.2188203,1.18964140823301,0.774739782958562,1.82673810137658,0.427438714752081,0.908103183941824
"CD8+_T_cells_M1_contact",69,54,0.1019704,0.1289577,1.10735068650385,0.860035201938356,1.4257852935983,0.429102877827074,0.908103183941824
"Neuroepithelial_cells_vascular_contact",69,54,-0.09102334,0.1161014,0.912996401519646,0.727182388856647,1.14629072700514,0.4330410127188,0.908103183941824
"CD56+CD45-_assort",69,54,0.1004823,0.1296277,1.10570407156609,0.85762933566311,1.42553600143884,0.438244625261538,0.908103183941824
"Fibroblast_M1_med_dist",66,52,-0.1067644,0.1386974,0.89873735757364,0.684815188120751,1.179484409677,0.441439047749498,0.908103183941824
"CD11b+_epithelial_vascular_med_dist",51,37,0.1276548,0.170318,1.13616078328612,0.813701060406806,1.58640732854884,0.453550480023899,0.922105401442879
"CD56+CD45-_tumor_contact",69,54,-0.1102143,0.1485725,0.895642204692957,0.669374908462623,1.19839412664816,0.45819543821699,0.922105401442879
"CD56+CD45-_vascular_med_dist",38,29,-0.1534216,0.2092535,0.857768041874056,0.569184382627156,1.29266725531789,0.463445457645377,0.922105401442879
"Unidentified_vascular_med_dist",68,53,-0.1054281,0.1452004,0.899939217317979,0.67704624078659,1.19621164121075,0.467785879415644,0.922105401442879
"Tumor_prop",69,54,0.1018418,0.1415917,1.10720828548979,0.838892396435707,1.46134378218935,0.471978357634862,0.922105401442879
"Fibroblast_tumor_contact",69,54,0.1061634,0.1482288,1.11200360477831,0.83163659743188,1.48688985171945,0.473859720185924,0.922105401442879
"Vascular_endothelial_cells_tumor_contact",69,54,-0.09933896,0.144438,0.905435749436302,0.682200097258488,1.20172057971233,0.491602746396143,0.939500158717015
"Lymphatic_endothelial_cells_prop",69,54,0.08854705,0.1325629,1.09258565672488,0.842592850392227,1.41674999583162,0.504157439762862,0.939500158717015
